department_id,department_name,ministry_id,ministry_name,jurisdiction,document_count,pdf_count,validated_pdf_count,failed_pdf_count,unavailable_pdf_count,last_updated
1639,DEPARTMENT OF TWENTY-POINT PROGRAMME IMPLEMENTATION,61,State Government,STATE,2,0,0,0,0,2026-08-19 21:27:46.201214
1293,General Admn. & Public Grievance (GA&PG),80,NO MINISTRY,STATE,1,0,0,0,0,2026-08-19 21:27:34.533299
1370,GEOLOGY & MINING,186,GEOLOGY & MINING,STATE,1,0,0,0,0,2026-08-19 21:27:34.533950
225,ENVIRONMENT AND FOREST,57,NO MINISTRY,STATE,1,0,0,0,0,2026-08-19 21:27:34.550429
943,Department of NRI Affairs,82,NO MINISTRY,STATE,3,0,0,0,0,2026-08-19 21:27:37.093583
1186,Vigilance Bureau,82,NO MINISTRY,STATE,1,0,0,0,0,2026-08-19 21:27:34.659951
872,Department of Ports Light House,63,NO MINISTRY,UNION_TERRITORY,3,0,0,0,0,2026-08-19 21:27:38.580172
1319,Rural Management & Development Department,131,No Ministry,STATE,1,0,0,0,0,2026-08-19 21:27:34.725131
305,Scheduled Caste Welfare Department,74,NO MINISTRY,STATE,3,0,0,0,0,2026-08-19 21:27:37.183410
661,Gangtok Muncipal Corporation,131,No Ministry,STATE,2,0,0,0,0,2026-08-19 21:27:38.659157
1242,Coastal Shipping & Inland Navigation,72,NO MINISTRY,STATE,1,0,0,0,0,2026-08-19 21:27:35.024928
312,Science and Technology Department,66,NO MINISTRY,STATE,1,0,0,0,0,2026-08-19 21:27:35.051456
604,DEPARTMENT OF STATE PROPERTY,89,NO MINISTRY,STATE,1,0,0,0,0,2026-08-19 21:27:35.051456
136,UTTAR HARYANA BIJLI VITRAN NIGAM,67,NO MINISTRY,STATE,2,0,0,0,0,2026-08-19 21:27:38.580172
1261,Non-Resident Keralites Affairs,72,NO MINISTRY,STATE,3,0,0,0,0,2026-08-19 21:27:37.601176
1154,Education,78,NO MINISTRY,STATE,1,0,0,0,0,2026-08-19 21:27:35.766518
1496,General Administration Department,189,NO MINISTRY,UNION_TERRITORY,2,0,0,0,0,2026-08-19 21:27:37.330360
747,Energy,86,NO MINISTRY,STATE,2,0,0,0,0,2026-08-19 21:27:38.374483
235,Agriculture Department,78,NO MINISTRY,STATE,1,0,0,0,0,2026-08-19 21:27:36.012801
559,Public Works Department,58,NO MINISTRY,STATE,1,0,0,0,0,2026-08-19 21:27:36.012801
267,Mineral Resources Department,74,NO MINISTRY,STATE,2,0,0,0,0,2026-08-19 21:27:39.685300
1596,"Official Language (legislative) Commission,Kerala",72,NO MINISTRY,STATE,1,0,0,0,0,2026-08-19 21:27:36.157643
981,Department of Mining,82,NO MINISTRY,STATE,1,0,0,0,0,2026-08-19 21:27:36.192535
808,Industries Department,64,NO MINISTRY,UNION_TERRITORY,2,0,0,0,0,2026-08-19 21:27:37.169013
1087,Administrative Reforms and Co-ordination Department,83,NO MINISTRY,STATE,1,0,0,0,0,2026-08-19 21:27:36.335674
526,Chief Minister's Secretariat,58,NO MINISTRY,STATE,1,0,0,0,0,2026-08-19 21:27:37.348824
1630,Social Justice,58,NO MINISTRY,STATE,1,0,0,0,0,2026-08-19 21:27:38.361969
778,"Highways and Minor Ports Department, Government of Tamil Nadu",85,NO MINISTRY,STATE,1,0,0,0,0,2026-08-19 21:27:46.256462
1089,"Art, Culture and Archaeology Department",83,NO MINISTRY,STATE,1,0,0,0,0,2026-08-19 21:27:46.257461
723,"Panchayati Raj Department, Government of Jharkhand",70,NO MINISTRY,STATE,2,0,0,0,0,2026-08-19 21:27:46.287913
1074,Directorate of Fire & Emergency Services,87,NO MINISTRY,STATE,1,0,0,0,0,2026-08-19 21:27:46.332164
1163,Political and Cabinet,78,NO MINISTRY,STATE,1,0,0,0,0,2026-08-19 21:27:37.258750
1316,Water Security & PHE Department,131,No Ministry,STATE,1,0,0,0,0,2026-08-19 21:27:37.315155
724,"Cabinet Secretariat and Vigilance Department, Government of Jharkhand",70,NO MINISTRY,STATE,1,0,0,0,0,2026-08-19 21:27:37.588320
1305,LAND REVENUE,181,LAND REVENUE,STATE,1,0,0,0,0,2026-08-19 21:27:37.615286
1176,Personnel,156,Personnel,STATE,1,0,0,0,0,2026-08-19 21:27:37.640803
554,Political Department,58,NO MINISTRY,STATE,1,0,0,0,0,2026-08-19 21:27:37.640803
920,Department of Agriculture & Farmers Welfare,87,NO MINISTRY,STATE,1,0,0,0,0,2026-08-19 21:27:37.683871
1494,Higher Education Department,189,NO MINISTRY,UNION_TERRITORY,1,0,0,0,0,2026-08-19 21:27:37.683871
1550,DEPARTMENT OF SUGARCANE,89,NO MINISTRY,STATE,1,0,0,0,0,2026-08-19 21:27:37.713559
792,Department of Tourism,64,NO MINISTRY,UNION_TERRITORY,1,0,0,0,0,2026-08-19 21:27:37.727796
560,Relief and Rehabilitation Department,58,NO MINISTRY,STATE,1,0,0,0,0,2026-08-19 21:27:37.741085
1231,"Planning Department, Government of Goa",65,NO MINISTRY,STATE,1,0,0,0,0,2026-08-19 21:27:37.743012
1454,VIGILANCE DEPARTMENT,60,NO MINISTRY,UNION_TERRITORY,1,0,0,0,0,2026-08-19 21:27:38.508369
1623,Citizen Resources Information Department,67,NO MINISTRY,STATE,1,0,0,0,0,2026-08-19 21:27:38.609843
1450,PERSONNEL AND ADMINISTRATIVE REFORMS DEPARTMENT,195,PERSONNEL AND ADMINISTRATIVE REFORMS,STATE,2,0,0,0,0,2026-08-19 21:27:39.229187
241,Finance Department,78,NO MINISTRY,STATE,2,0,0,0,0,2026-08-19 21:27:39.153624
392,DEPARTMENT OF LEGISLATIVE AND PARLIMENTARY AFFAIRS,89,NO MINISTRY,STATE,3,0,0,0,0,2026-08-19 21:27:45.879972
1644,Haryana Agro Industries Corporation,67,NO MINISTRY,STATE,1,0,0,0,0,2026-08-19 21:27:38.781299
1332,VETERINARY & ANIMAL HUSBANDRY,182,VETERINARY & ANIMAL HUSBANDRY,STATE,1,0,0,0,0,2026-08-19 21:27:39.227982
1062,DEPARTMENT OF PUBLIC HEALTH ENGINEERING,61,State Government,STATE,1,0,0,0,0,2026-08-19 21:27:39.334655
1600,Department of Jail,91,Andaman and Nicobar Administration,UNION_TERRITORY,1,0,0,0,0,2026-08-19 21:27:39.625005
314,Women and Child Department,66,NO MINISTRY,STATE,2,0,0,0,0,2026-08-19 21:27:42.188949
994,Fire Service Department,76,NO MINISTRY,STATE,1,0,0,0,0,2026-08-19 21:27:40.589970
519,DEPARTMENT OF LANGUAGE,89,NO MINISTRY,STATE,1,0,0,0,0,2026-08-19 21:27:41.125930
1377,Administrative Reforms Department,64,NO MINISTRY,UNION_TERRITORY,1,0,0,0,0,2026-08-19 21:27:41.226032
1349,"Department of River Navigation, Government of Goa",65,NO MINISTRY,STATE,1,0,0,0,0,2026-08-19 21:27:41.457118
832,Health Department,78,NO MINISTRY,STATE,1,0,0,0,0,2026-08-19 21:27:45.623634
