ministry_id,ministry_name,jurisdiction,department_count,document_count,pdf_count,validated_pdf_count,failed_pdf_count,unavailable_pdf_count,last_updated
194,URBAN DEVELOPMENT,STATE,1,2,0,0,0,0,2026-08-19 21:27:31.606414
179,EDUCATION,STATE,1,2,0,0,0,0,2026-08-19 21:27:39.575476
105,"Food, Civil Supplies and Consumer Affairs",STATE,0,5,0,0,0,0,2026-08-19 21:27:45.996692
42,Ministry of Tribal Affairs,CENTRAL,0,9,0,0,0,0,2026-08-19 21:27:37.313153
103,Finance,STATE,0,6,0,0,0,0,2026-08-19 21:27:46.143926
174,TRANSPORT,STATE,1,5,0,0,0,0,2026-08-19 21:27:41.478032
73,NO MINISTRY,UNION_TERRITORY,4,10,0,0,0,0,2026-08-19 21:27:46.200331
156,Personnel,STATE,1,2,0,0,0,0,2026-08-19 21:27:37.639801
107,Cooperation,STATE,0,1,0,0,0,0,2026-08-19 21:27:23.250721
113,Public Works,STATE,0,8,0,0,0,0,2026-08-19 21:27:46.329324
111,"Language, Art and Culture",STATE,0,2,0,0,0,0,2026-08-19 21:27:33.270081
159,Technical Education,STATE,0,3,0,0,0,0,2026-08-19 21:27:38.802136
50,Ministry of Development of North Eastern Region,CENTRAL,0,6,0,0,0,0,2026-08-19 21:27:36.252593
185,PARLIAMENTARY AFFAIRS,STATE,1,5,0,0,0,0,2026-08-19 21:27:46.020433
187,HEALTH & FAMILY WELFARE,STATE,1,4,0,0,0,0,2026-08-19 21:27:37.457458
183,LABOUR & EMPLOYMENT,STATE,1,1,0,0,0,0,2026-08-19 21:27:24.620024
178,INDUSTRIES,STATE,1,2,0,0,0,0,2026-08-19 21:27:28.084488
151,Town and Country Planning,STATE,0,4,0,0,0,0,2026-08-19 21:27:35.652115
184,AGRICULTURE,STATE,1,2,0,0,0,0,2026-08-19 21:27:37.470764
173,PLANNING,STATE,1,5,0,0,0,0,2026-08-19 21:27:40.389882
100,Ayurveda,STATE,0,1,0,0,0,0,2026-08-19 21:27:27.400219
157,Labour and Employment,STATE,0,2,0,0,0,0,2026-08-19 21:27:37.588320
152,Administrative Reforms,STATE,0,1,0,0,0,0,2026-08-19 21:27:30.903365
177,FOREST,STATE,1,3,0,0,0,0,2026-08-19 21:27:46.117232
115,Transport,STATE,0,2,0,0,0,0,2026-08-19 21:27:38.565191
175,PUBLIC WORKS DEPARTMENT,STATE,1,1,0,0,0,0,2026-08-19 21:27:32.945250
186,GEOLOGY & MINING,STATE,1,1,0,0,0,0,2026-08-19 21:27:34.533950
181,LAND REVENUE,STATE,1,1,0,0,0,0,2026-08-19 21:27:37.615286
110,Housing,STATE,0,1,0,0,0,0,2026-08-19 21:27:38.375268
195,PERSONNEL AND ADMINISTRATIVE REFORMS,STATE,1,2,0,0,0,0,2026-08-19 21:27:39.229187
182,VETERINARY & ANIMAL HUSBANDRY,STATE,1,1,0,0,0,0,2026-08-19 21:27:39.227982
