ministry_id,ministry_name,department_id,department_name,jurisdiction,document_count,pdf_count
60,NO MINISTRY,900,Forest and Wildlife,UNION_TERRITORY,14,0
82,NO MINISTRY,967,Department of Finance,STATE,8,0
82,NO MINISTRY,957,Department of Home Affairs,STATE,6,0
88,NO MINISTRY,465,General Administration,STATE,10,0
64,NO MINISTRY,786,Department for the Welfare of SC/ST/OBC/Minorities,UNION_TERRITORY,3,0
58,NO MINISTRY,1340,Finance (Institutional Finance) Department,STATE,17,0
78,NO MINISTRY,1157,Parliamentary Affairs Department,STATE,2,0
91,Andaman and Nicobar Administration,148,"Principal Chief Conservator of Forest, Van Sadan",UNION_TERRITORY,11,0
67,NO MINISTRY,128,SOCIAL JUSTICE & EMPOWERMENT DEPARTMENT,STATE,6,0
131,No Ministry,990,Land Revenue and Disaster Management Department,STATE,5,0
91,Andaman and Nicobar Administration,150,Department of Tribal Welfare,UNION_TERRITORY,19,0
63,NO MINISTRY,1236,"Pollution Control Committee, Daman.",UNION_TERRITORY,2,0
83,NO MINISTRY,1091,Colonization Department,STATE,26,0
72,NO MINISTRY,1274,Taxes,STATE,2,0
56,NO MINISTRY,344,"Industries, Infrastructure, Investment and Commerce Department",STATE,7,0
67,NO MINISTRY,1541,Haryana State warehousing corporation,STATE,3,0
58,NO MINISTRY,533,Fishery Department,STATE,1,0
58,NO MINISTRY,555,Power (Electricity) Department,STATE,5,0
58,NO MINISTRY,548,Panchayat and Rural Development Department,STATE,12,0
63,NO MINISTRY,877,Department of Power Non Conventional Sources of Energy,UNION_TERRITORY,10,0
85,NO MINISTRY,216,"Personnel and Administrative Reforms Department, Government of Tamil Nadu",STATE,10,0
86,NO MINISTRY,744,"Animal Husbandry, Dairy Development and Fisheries",STATE,6,0
86,NO MINISTRY,762,Minorities Welfare,STATE,15,0
80,NO MINISTRY,202,Planning & Convergence,STATE,5,0
58,NO MINISTRY,528,Cultural Affairs Department,STATE,6,0
87,NO MINISTRY,924,"Department of Agriculture, Directorate of Horticulture, Soil Conservation, Tripura, Agartala.",STATE,2,0
87,NO MINISTRY,914,"Director, Department of Science, Techgnology & Environment",STATE,4,0
60,NO MINISTRY,1456,Department of Information Technology,UNION_TERRITORY,12,0
74,NO MINISTRY,272,Public Health and Family Welfare Department,STATE,8,0
80,NO MINISTRY,222,Steel &amp; Mines,STATE,1,0
65,NO MINISTRY,1387,"Labour &amp; Employment Department, Government of Goa",STATE,4,0
64,NO MINISTRY,811,Development Department,UNION_TERRITORY,7,0
60,NO MINISTRY,1177,State Transport Authority,UNION_TERRITORY,3,0
56,NO MINISTRY,340,Law Department,STATE,2,0
56,NO MINISTRY,353,"Environment, Forest, Science & Technology Department",STATE,3,0
89,NO MINISTRY,1234,DEPARTMENT OF EXCISE,STATE,2,0
66,NO MINISTRY,316,Finance Department,STATE,9,0
78,NO MINISTRY,239,EXCISE DEPARTMENT,STATE,4,0
74,NO MINISTRY,263,Trasnport Department,STATE,10,0
89,NO MINISTRY,415,DEPARTMENT OF IRRIGATION,STATE,4,0
65,NO MINISTRY,1183,"Public Health Department, Government of Goa",STATE,17,0
85,NO MINISTRY,1050,"Welfare of Differently Abled Persons Department, Government of Tamil Nadu",STATE,4,0
59,NO MINISTRY,1577,PLANNING AND DEVELOPMENT DEPARTMENT,STATE,5,0
76,NO MINISTRY,164,Revenue Department,STATE,6,0
60,NO MINISTRY,1648,Finance,UNION_TERRITORY,2,0
66,NO MINISTRY,311,Social Justice and Empowerment Department,STATE,5,0
80,NO MINISTRY,1291,Skill Dev & Technical Education (SDTE),STATE,3,0
56,NO MINISTRY,351,"Youth Advancement, Tourism & Culture Department",STATE,3,0
67,NO MINISTRY,1609,Haryana Khadi and Village Industries Board,STATE,3,0
83,NO MINISTRY,1128,Mines Department,STATE,4,0
174,TRANSPORT,1225,TRANSPORT,STATE,5,0
60,NO MINISTRY,925,Rural Development and Panchayats,UNION_TERRITORY,2,0
88,NO MINISTRY,510,U.P. Reorganisation & Coordination,STATE,15,0
64,NO MINISTRY,809,Weights and Measures Department,UNION_TERRITORY,1,0
59,NO MINISTRY,741,PANCHAYATI RAJ DEPARTMENT,STATE,3,0
74,NO MINISTRY,296,Women and Child Development Department,STATE,12,0
58,NO MINISTRY,1333,Finance (Audit & Fund) Department,STATE,5,0
87,NO MINISTRY,1317,Factories & Boilers Organisation,STATE,7,0
87,NO MINISTRY,1345,Director General of Police,STATE,10,0
58,NO MINISTRY,571,Information and Public Relations Department,STATE,4,0
166,Govt of Maharashtra,1518,"Food ,Civil supplies and consumer protection Department",STATE,17,0
61,State Government,1189,DEPARTMENT OF JAIL,STATE,6,0
56,NO MINISTRY,360,Panchayat Raj & Rural Development Department,STATE,4,0
58,NO MINISTRY,556,Printing and Stationery Department,STATE,1,0
82,NO MINISTRY,958,Department of Rural Development and Panchayat,STATE,12,0
67,NO MINISTRY,114,DEPARTMENT OF AYUSH,STATE,3,0
59,NO MINISTRY,1565,FOOD AND CONSUMER PROTECTION DEPARTMENT,STATE,1,0
63,NO MINISTRY,879,Department of Planning & Statistics,UNION_TERRITORY,1,0
64,NO MINISTRY,785,Department of Training and Technical Education,UNION_TERRITORY,6,0
70,NO MINISTRY,720,"Health, Medical Education and Family Welfare Department, Government of Jharkhand",STATE,1,0
63,NO MINISTRY,869,Department of Forest & Environment and Wildlife,UNION_TERRITORY,6,0
60,NO MINISTRY,1180,State Consumer Disputes Redressal Commission,UNION_TERRITORY,7,0
64,NO MINISTRY,702,Health & Family Welfare Department,UNION_TERRITORY,9,0
73,NO MINISTRY,1217,Department of General Administration & Protocol,UNION_TERRITORY,5,0
58,NO MINISTRY,1338,Finance (Establishment - A) Department,STATE,3,0
59,NO MINISTRY,904,"YOUTH, ART & CULTURE DEPARTMENT",STATE,3,0
189,NO MINISTRY,1487,Health and Medical Education Department,UNION_TERRITORY,2,0
91,Andaman and Nicobar Administration,1484,Department of Education,UNION_TERRITORY,1,0
72,NO MINISTRY,1251,General Administration,STATE,4,0
60,NO MINISTRY,1651,Health Department,UNION_TERRITORY,1,0
76,NO MINISTRY,183,HOME Department,STATE,5,0
131,No Ministry,1314,Police Department,STATE,2,0
63,NO MINISTRY,1201,Collector Department,UNION_TERRITORY,7,0
67,NO MINISTRY,121,ADVOCATE GENERAL HARYANA,STATE,4,0
67,NO MINISTRY,1530,"Development & Panchayats Department, Haryana",STATE,7,0
131,No Ministry,683,"Development Planning, Economic Reforms & North Eastern Council Affairs Department",STATE,2,0
67,NO MINISTRY,523,"ELECTRONICS & INFORMATION TECHNOLOGY DEPARTMENT, HARYANA",STATE,4,0
131,No Ministry,1297,Water Resources & River Development Department,STATE,1,0
60,NO MINISTRY,1203,Department of Technical Education,UNION_TERRITORY,2,0
65,NO MINISTRY,1167,"Electricity Department, Government of Goa",STATE,4,0
70,NO MINISTRY,722,"Transport Department, Government of Jharkhand",STATE,18,0
76,NO MINISTRY,193,"Consumer Affairs, Food and Public Distribution",STATE,3,0
67,NO MINISTRY,108,PWD (B&R),STATE,3,0
78,NO MINISTRY,233,Urban Development and Poverty Alleviation,STATE,1,0
87,NO MINISTRY,1364,Directorate of Audit Finance Department,STATE,1,0
74,NO MINISTRY,275,School Education Department,STATE,8,0
58,NO MINISTRY,537,General Administration Department,STATE,7,0
74,NO MINISTRY,280,Tribal Affairs Department,STATE,3,0
83,NO MINISTRY,1111,Sanskrit Education Department,STATE,3,0
131,No Ministry,1312,Transport Department,STATE,2,0
58,NO MINISTRY,568,Veterinary Department,STATE,2,0
83,NO MINISTRY,1112,Election Department,STATE,4,0
72,NO MINISTRY,1259,Local Self Government,STATE,9,0
64,NO MINISTRY,822,"Excise, Entertainment and Luxury Tax Department",UNION_TERRITORY,7,0
70,NO MINISTRY,694,"Industry Department, Government of Jharkhand",STATE,6,0
67,NO MINISTRY,147,"MINES & GEOLOGY, HARYANA",STATE,2,0
78,NO MINISTRY,1159,Transport Department,STATE,2,0
65,NO MINISTRY,1393,"Department of Urban Development, Government of Goa",STATE,3,0
74,NO MINISTRY,300,Harticulture and Food Processing Department,STATE,3,0
185,PARLIAMENTARY AFFAIRS,1369,PARLIAMENTARY AFFAIRS DEPARTMENT,STATE,5,0
76,NO MINISTRY,197,Arts and Culture Department,STATE,10,0
56,NO MINISTRY,356,Minorities Welfare Department,STATE,1,0
131,No Ministry,1318,Food Security and Agriculture Development Department,STATE,3,0
187,HEALTH & FAMILY WELFARE,1388,HEALTH & FAMILY WELFARE,STATE,4,0
87,NO MINISTRY,910,Prisons Directorate,STATE,7,0
87,NO MINISTRY,1044,Directorate of Kokborok & Other Minority Languages,STATE,2,0
58,NO MINISTRY,543,Industries and Commerce Department,STATE,12,0
63,NO MINISTRY,1199,Department of General Administration and Protocol,UNION_TERRITORY,2,0
82,NO MINISTRY,1564,Punjab State Container and Warehousing Corporation Limited,STATE,1,0
189,NO MINISTRY,1413,Home Department,UNION_TERRITORY,2,0
65,NO MINISTRY,1599,"Department of Excise, Government of Goa.",STATE,1,0
70,NO MINISTRY,696,"Forest Environment and Climate Change Department, Government of Jharkhand",STATE,2,0
89,NO MINISTRY,1233,DEPARTMENT OF HEALTH,STATE,3,0
58,NO MINISTRY,1337,Finance (Economic Affairs) Department,STATE,3,0
73,NO MINISTRY,1226,Collectorate,UNION_TERRITORY,2,0
72,NO MINISTRY,1243,Consumer Affairs,STATE,2,0
80,NO MINISTRY,1347,ST & SC Development & M & BCW,STATE,4,0
65,NO MINISTRY,1015,"Captain of Ports Department, Government of Goa",STATE,3,0
183,LABOUR & EMPLOYMENT,1363,LABOUR & EMPLOYMENT,STATE,1,0
131,No Ministry,1324,TOURISM AND CIVIL AVIATION DEPARTMENT,STATE,1,0
87,NO MINISTRY,1403,Directorate for Welfare of Minorities,STATE,2,0
89,NO MINISTRY,1513,Department of Council of Ministers,STATE,7,0
78,NO MINISTRY,1155,"Land, Revenue & Settlement",STATE,5,0
64,NO MINISTRY,798,"Art, Culture and Language Department",UNION_TERRITORY,3,0
64,NO MINISTRY,824,Delhi Jal Board,UNION_TERRITORY,2,0
64,NO MINISTRY,806,Delhi Fire Service,UNION_TERRITORY,1,0
63,NO MINISTRY,880,"Department of Agriculture, Soil Conservator and Horticulture",UNION_TERRITORY,8,0
67,NO MINISTRY,1527,"Department of Horticulture, Haryana",STATE,5,0
74,NO MINISTRY,269,Farmer Welfare and Agriculture Development Department,STATE,6,0
66,NO MINISTRY,328,Forest and Environment Department,STATE,2,0
82,NO MINISTRY,947,Department of Power,STATE,2,0
63,NO MINISTRY,1193,Department of Home,UNION_TERRITORY,6,0
63,NO MINISTRY,889,"Department of Industries, Trade and Commerce & Mines",UNION_TERRITORY,3,0
73,NO MINISTRY,1282,Department of FCS & CA,UNION_TERRITORY,1,0
65,NO MINISTRY,1079,"Town and Country Planning Department, Government of Goa",STATE,1,0
89,NO MINISTRY,734,DEPARTMENT OF LABOUR,STATE,3,0
59,NO MINISTRY,833,ANIMAL & FISH RESOURCES DEPARTMENT,STATE,3,0
76,NO MINISTRY,195,Co-operation Department,STATE,3,0
74,NO MINISTRY,285,Water Resources Department,STATE,3,0
74,NO MINISTRY,261,Religious Trusts and Endowments Department,STATE,1,0
60,NO MINISTRY,1206,House Allotment Committee,UNION_TERRITORY,1,0
82,NO MINISTRY,933,Department of Rehabilitation and Disaster Management,STATE,2,0
86,NO MINISTRY,764,Panchayat Raj and Rural Development,STATE,4,0
89,NO MINISTRY,735,DEPARTMENT OF COOPERATIVES,STATE,7,0
57,NO MINISTRY,206,ADMINISTRATIVE REFORMS,STATE,2,0
67,NO MINISTRY,1629,Gurugram Metropolitan Development Authority,STATE,2,0
59,NO MINISTRY,840,PARLIAMENTARY AFFAIRS DEPARTMENT,STATE,1,0
66,NO MINISTRY,321,"Panchayats, Rural Housing and Rural Development Department",STATE,2,0
5,Ministry of Home Affairs,39,Department of Official Language,CENTRAL,7,0
178,INDUSTRIES,1300,INDUSTRIES & COMMERCE,STATE,2,0
89,NO MINISTRY,520,DEPARTMENT OF MEDICAL AND MEDICAL EDUCATION,STATE,4,0
89,NO MINISTRY,1306,Department of Medical,STATE,3,0
91,Andaman and Nicobar Administration,1309,Port Blair Municipal Council,UNION_TERRITORY,5,0
58,NO MINISTRY,553,Planning and Development Department,STATE,6,0
82,NO MINISTRY,1394,Colonization,STATE,3,0
60,NO MINISTRY,844,Law & Prosecution Department Chandigarh Administration,UNION_TERRITORY,3,0
184,AGRICULTURE,1365,AGRICULTURE,STATE,2,0
58,NO MINISTRY,538,"Handlooms, Textile and Sericulture Department",STATE,5,0
72,NO MINISTRY,1357,Animal Husbandry,STATE,2,0
56,NO MINISTRY,362,Labour Employment Training & Factories Department,STATE,4,0
70,NO MINISTRY,717,"Road Construction Department, Government of Jharkhand",STATE,6,0
65,NO MINISTRY,1328,"Animal Husbandry & Veterinary Services Department, Government of Goa",STATE,7,0
131,No Ministry,660,Finance Revenue & Expenditure Department,STATE,6,0
67,NO MINISTRY,101,"DEPARTMENT OF INDUSTRIES AND COMMERCE, HARYANA",STATE,6,0
88,NO MINISTRY,517,Additional Energy Sources,STATE,3,0
189,NO MINISTRY,1489,Housing & Urban Development Department,UNION_TERRITORY,2,0
74,NO MINISTRY,286,Tourism Department,STATE,5,0
65,NO MINISTRY,1372,"Directorate of Health Services, Government of Goa",STATE,2,0
65,NO MINISTRY,1382,"Directorate of Social Welfare, Government of Goa",STATE,4,0
56,NO MINISTRY,364,Housing Department,STATE,1,0
76,NO MINISTRY,170,Personnel and Administrative Reforms Department,STATE,6,0
189,NO MINISTRY,1416,Transport Department,UNION_TERRITORY,2,0
56,NO MINISTRY,345,Energy Department,STATE,4,0
66,NO MINISTRY,142,Legislative and Parliamentary Affairs Department,STATE,3,0
85,NO MINISTRY,375,"Tamil Development and Information Department, Government of Tamil Nadu",STATE,2,0
87,NO MINISTRY,908,Transport Department,STATE,2,0
63,NO MINISTRY,882,"Block Development Office, Daman.",UNION_TERRITORY,2,0
67,NO MINISTRY,110,EDUCATION,STATE,2,0
89,NO MINISTRY,1235,DEPARTMENT OF AWAS,STATE,4,0
72,NO MINISTRY,1245,Electronics & Information Technology,STATE,1,0
87,NO MINISTRY,922,Directorate of Tribal Welfare Department,STATE,3,0
80,NO MINISTRY,706,Housing & Uban Development (H&UD),STATE,5,0
66,NO MINISTRY,313,Home Department,STATE,9,0
91,Andaman and Nicobar Administration,400,Department of Industries,UNION_TERRITORY,3,0
86,NO MINISTRY,766,Public Enterprises,STATE,11,0
78,NO MINISTRY,1153,Taxation,STATE,3,0
74,NO MINISTRY,279,Public Relations Department,STATE,1,0
189,NO MINISTRY,1417,Industries and Commerce,UNION_TERRITORY,1,0
67,NO MINISTRY,1608,Haryana Vidyut Prasaran Nigam Limited,STATE,4,0
82,NO MINISTRY,971,Department of Medical Education and Research,STATE,13,0
173,PLANNING,1223,PLANNING,STATE,5,0
66,NO MINISTRY,326,"Narmada, Water Resources, Water Supply and Kalpsar Department",STATE,3,0
91,Andaman and Nicobar Administration,369,Department of Finance,UNION_TERRITORY,4,0
72,NO MINISTRY,1263,Personnel & Administrative Reforms,STATE,2,0
91,Andaman and Nicobar Administration,1440,Department of Fisheries,UNION_TERRITORY,7,0
56,NO MINISTRY,354,Agriculture and Cooperation Department,STATE,7,0
59,NO MINISTRY,1568,MINES & GEOLOGY DEPARTMENT,STATE,5,0
189,NO MINISTRY,1415,Tourism and Culture,UNION_TERRITORY,3,0
82,NO MINISTRY,1024,Department of Dairy Development,STATE,1,0
76,NO MINISTRY,157,Transport Department,STATE,4,0
78,NO MINISTRY,1156,"Animal, Husbandary and Veterinary",STATE,1,0
131,No Ministry,1323,Urban Development & Housing Department,STATE,2,0
87,NO MINISTRY,1371,Controller of Legal Metrology Department,STATE,1,0
67,NO MINISTRY,1614,Department of Economic and Statistical Affairs,STATE,1,0
70,NO MINISTRY,828,"Cabinet Secretariat and Coordination Department, Government of Jharkhand",STATE,1,0
82,NO MINISTRY,976,Department of Horticulture,STATE,5,0
89,NO MINISTRY,1076,DEPARTMENT OF MINORITY WELFARE,STATE,2,0
65,NO MINISTRY,1078,"Institute of Public Assistance (Provedoria), Government of Goa",STATE,2,0
89,NO MINISTRY,602,DEPARTMENT OF FISHERIES,STATE,8,0
80,NO MINISTRY,608,Works,STATE,4,0
63,NO MINISTRY,897,Department of Co-operation,UNION_TERRITORY,1,0
66,NO MINISTRY,146,Information and Broadcasting Department,STATE,2,0
59,NO MINISTRY,842,AGRICULTURE DEPARTMENT,STATE,11,0
76,NO MINISTRY,173,"Medical, Health and Family Welfare Department",STATE,3,0
65,NO MINISTRY,1381,"Department of Information & Publicity, Government of Goa",STATE,3,0
60,NO MINISTRY,1170,Economics &amp; Statistics (Cell),UNION_TERRITORY,7,0
59,NO MINISTRY,1066,VIGILANCE DEPARTMENT,STATE,5,0
83,NO MINISTRY,1132,Printing and Stationery Department,STATE,4,0
65,NO MINISTRY,1060,"Forest Department, Government of Goa",STATE,2,0
131,No Ministry,1308,Commerce & Industries Department,STATE,3,0
64,NO MINISTRY,784,Delhi Urban Shelter improvement Board,UNION_TERRITORY,2,0
80,NO MINISTRY,609,"Micro, Small & Medium Enterprises (MSME)",STATE,2,0
82,NO MINISTRY,1434,Punjab Ex-Servicemen Corporation,STATE,5,0
89,NO MINISTRY,394,DEPARTMENT OF HORTICULTURE,STATE,3,0
66,NO MINISTRY,320,"Food, Civil Supply and Consumer Affairs Department",STATE,3,0
82,NO MINISTRY,954,Department of Personnel,STATE,1,0
87,NO MINISTRY,923,"Directorate of Small Savings, Group Insurance & Institutional Finance",STATE,5,0
72,NO MINISTRY,1356,Ports,STATE,1,0
59,NO MINISTRY,249,LAW DEPARTMENT,STATE,2,0
91,Andaman and Nicobar Administration,1511,Department of Agriculture,UNION_TERRITORY,2,0
67,NO MINISTRY,1528,"Finance Department, Haryana",STATE,2,0
56,NO MINISTRY,358,"Information Technology, Electronics & Communication Department",STATE,2,0
78,NO MINISTRY,240,Local Administration Department,STATE,1,0
82,NO MINISTRY,968,Department of Defence Services Welfare,STATE,3,0
89,NO MINISTRY,1410,DEPARTMENT OF ARCHAEOLOGY,STATE,1,0
70,NO MINISTRY,708,"Personnel, Administrative Reforms and Rajbhasha Deparment, Government of Jharkhand",STATE,5,0
67,NO MINISTRY,1561,SEWA,STATE,2,0
91,Andaman and Nicobar Administration,1505,Registrar Cooperative Socities,UNION_TERRITORY,2,0
76,NO MINISTRY,974,Social Welfare,STATE,2,0
65,NO MINISTRY,1374,"Department of Art & Culture, Government of Goa.",STATE,1,0
60,NO MINISTRY,1172,Agriculture,UNION_TERRITORY,5,0
65,NO MINISTRY,1373,"Department of Information Technology, Government of Goa",STATE,3,0
85,NO MINISTRY,212,"Energy Department, Government of Tamil Nadu",STATE,5,0
76,NO MINISTRY,171,Minorities and Other Backward Classes,STATE,2,0
87,NO MINISTRY,1327,State Institute of Public Administration and Rural Development (SIPARD),STATE,1,0
89,NO MINISTRY,1579,DEPARTMENT OF INFORMATION,STATE,1,0
63,NO MINISTRY,892,"Department of Town and Country Planning, Urban Development & Housing",UNION_TERRITORY,4,0
80,NO MINISTRY,1022,"Handlooms,Textiles & Handicrafts",STATE,1,0
83,NO MINISTRY,1151,Youth Affairs and Sports,STATE,1,0
56,NO MINISTRY,357,School Education Department,STATE,6,0
61,State Government,1016,DEPARTMENT OF RELIGIOUS TRUST AND ENDOWMENT,STATE,3,0
67,NO MINISTRY,1634,HAFED,STATE,2,0
70,NO MINISTRY,712,"Food Public Distribution and Consumer Affairs Department, Government of Jharkhand",STATE,2,0
60,NO MINISTRY,1207,Chandigarh Industrial & Tourism Development Corporation Ltd.,UNION_TERRITORY,3,0
89,NO MINISTRY,393,DEPARTMENT OF LAW,STATE,8,0
189,NO MINISTRY,1488,Food & Civil Supplies Department,UNION_TERRITORY,1,0
131,No Ministry,672,Cooperation Dept,STATE,1,0
117,Home,782,Vigilance,STATE,2,0
82,NO MINISTRY,1549,Real Estate Regulatory Authority,STATE,8,0
56,NO MINISTRY,365,Consumer Affairs Food & Civil Supplies Department,STATE,3,0
70,NO MINISTRY,714,"Building Construction Department, Government of Jharkhand",STATE,1,0
69,NO MINISTRY,650,Labour and Employment,UNION_TERRITORY,1,0
82,NO MINISTRY,931,Department of Public Works,STATE,2,0
89,NO MINISTRY,1232,DEPARTMENT OF FOREST,STATE,3,0
89,NO MINISTRY,1551,DEPARTMENT OF LAND REVENUE,STATE,2,0
58,NO MINISTRY,544,Irrigation Department,STATE,3,0
70,NO MINISTRY,700,"Rural Development Department, Government of Jharkhand",STATE,1,0
88,NO MINISTRY,1427,Geology and Mining,STATE,2,0
65,NO MINISTRY,853,"Department of Industries, Trade and Commerce, Government of Goa",STATE,8,0
56,NO MINISTRY,366,Transport & Roads Building Department (TR&B),STATE,2,0
86,NO MINISTRY,754,Housing,STATE,2,0
56,NO MINISTRY,350,"Department for Women, Children, Differently Abled & Senior Citizens",STATE,1,0
67,NO MINISTRY,1532,"Public Health Engineering Department, Haryana",STATE,3,0
59,NO MINISTRY,1575,DISASTER MANAGMENT DEPARTMENT,STATE,3,0
87,NO MINISTRY,1038,General Administration(Political) Department,STATE,1,0
67,NO MINISTRY,106,TRANSPORT,STATE,1,0
91,Andaman and Nicobar Administration,1504,Department of Law Secretariat,UNION_TERRITORY,3,0
87,NO MINISTRY,1555,Office of the Commissioner of Excise,STATE,2,0
74,NO MINISTRY,278,"Planning, Economics and Statistics Department",STATE,1,0
89,NO MINISTRY,388,DEPARTMENT OF LAND REVENUE,STATE,1,0
58,NO MINISTRY,576,Secondary Education Department,STATE,2,0
87,NO MINISTRY,917,Directorate of Youth Affairs & Sports,STATE,1,0
88,NO MINISTRY,1431,Consumer Protection,STATE,2,0
89,NO MINISTRY,389,DEPARTMENT OF TRANSPORT,STATE,6,0
70,NO MINISTRY,698,"Information Technology & e-Governance Department,Government of Jharkhand",STATE,2,0
59,NO MINISTRY,1576,BC & EBC WELFARE DEPARTMENT,STATE,4,0
85,NO MINISTRY,215,"Micro, Small and Medium Enterprises Department, Government of Tamil Nadu",STATE,6,0
72,NO MINISTRY,1239,Agriculture Development & Farmers' Welfare,STATE,1,0
58,NO MINISTRY,1631,Housing and Urban Affairs,STATE,1,0
83,NO MINISTRY,1118,Ground Water Department,STATE,3,0
58,NO MINISTRY,567,Transport Department,STATE,5,0
65,NO MINISTRY,1578,Mines and Geology,STATE,1,0
89,NO MINISTRY,1481,DEPARTMENT OF INTERMEDIATE EDUCATION,STATE,2,0
63,NO MINISTRY,873,Department of Excise,UNION_TERRITORY,1,0
177,FOREST,1299,FOREST,STATE,3,0
64,NO MINISTRY,818,Office of the Registrar Cooperative Societies,UNION_TERRITORY,1,0
66,NO MINISTRY,310,"Sports, Youth and Cultural Activities Department",STATE,2,0
87,NO MINISTRY,1325,Directorate of Animal Resources Development,STATE,1,0
88,NO MINISTRY,440,Administrative reforms,STATE,1,0
89,NO MINISTRY,395,DEPARTMENT OF TECHNICAL EDUCATION AND TRAINING,STATE,2,0
83,NO MINISTRY,1114,Food and Civil Supply Department,STATE,4,0
63,NO MINISTRY,886,"Government College, Daman",UNION_TERRITORY,1,0
67,NO MINISTRY,131,LOCAL AUDIT,STATE,1,0
82,NO MINISTRY,936,Department of Planning,STATE,1,0
82,NO MINISTRY,1397,Pepsu Road Transport Corporation,STATE,4,0
78,NO MINISTRY,232,Home Department,STATE,4,0
80,NO MINISTRY,200,Public Enterprises,STATE,1,0
189,NO MINISTRY,1493,School Education Department,UNION_TERRITORY,2,0
89,NO MINISTRY,1552,Department of Khadi and Grama Udyog,STATE,1,0
60,NO MINISTRY,1654,Zila Parishad,UNION_TERRITORY,1,0
82,NO MINISTRY,960,Department of Cooperation,STATE,1,0
82,NO MINISTRY,982,Department of Food Processing,STATE,1,0
67,NO MINISTRY,1525,WOMEN AND CHILD DEVELOPMENT DEPARTMENT,STATE,2,0
67,NO MINISTRY,1507,DIRECTORATE OF ARCHAEOLOGY & MUSEUMS,STATE,2,0
56,NO MINISTRY,347,Planning Department,STATE,1,0
70,NO MINISTRY,733,"Tourism, Art and Culture, Sports and Youth Affairs Department, Government of Jharkhand",STATE,3,0
64,NO MINISTRY,805,Department of Forest and Wildlife,UNION_TERRITORY,2,0
82,NO MINISTRY,984,Department of Youth Services,STATE,1,0
175,PUBLIC WORKS DEPARTMENT,1288,PUBLIC WORKS DEPARTMENT,STATE,1,0
86,NO MINISTRY,773,"Youth Advancement, Tourism and Culture",STATE,2,0
80,NO MINISTRY,1292,Commerce & Transport (Commerce),STATE,1,0
58,NO MINISTRY,530,Election Department,STATE,3,0
63,NO MINISTRY,1197,Urban Development Department,UNION_TERRITORY,2,0
57,NO MINISTRY,223,Department of Cooperation.,STATE,1,0
131,No Ministry,1310,Labour Department,STATE,1,0
65,NO MINISTRY,1059,"Civil Aviation Department, Government of Goa",STATE,3,0
73,NO MINISTRY,736,DIRECTORATE OF PANCHAYAT,UNION_TERRITORY,2,0
72,NO MINISTRY,1358,Scheduled Tribes Dept,STATE,1,0
58,NO MINISTRY,1334,Finance (Expenditure Control - I) Department,STATE,1,0
59,NO MINISTRY,1498,ROAD CONSTRUCTION DEPARTMENT,STATE,1,0
89,NO MINISTRY,387,DEPARTMENT OF PANCHAYATI RAJ,STATE,1,0
72,NO MINISTRY,1269,Scheduled Castes Dept,STATE,1,0
59,NO MINISTRY,1580,Minority Welfare Department,STATE,2,0
74,NO MINISTRY,289,Fisherman Welfare and Fisheries Development Department,STATE,3,0
82,NO MINISTRY,977,Soil Conservation,STATE,2,0
131,No Ministry,615,Building and Housing Department,STATE,3,0
89,NO MINISTRY,1659,State GST (Finance),STATE,4,0
89,NO MINISTRY,1366,DEPARTMENT OF RURAL DEVELOPMENT,STATE,1,0
56,NO MINISTRY,349,Social Welfare Department,STATE,2,0
60,NO MINISTRY,1652,Industries,UNION_TERRITORY,2,0
82,NO MINISTRY,973,Department of Transport,STATE,5,0
72,NO MINISTRY,1249,Food Civil Supplies & Consumer Affairs,STATE,1,0
89,NO MINISTRY,780,DEPARTMENT OF CORRUPTION AND PUBLIC SERVICES,STATE,1,0
65,NO MINISTRY,1164,"Vigilance Department, Government of Goa",STATE,1,0
72,NO MINISTRY,1281,Co-operation,STATE,1,0
74,NO MINISTRY,298,Backward Classes and Minorities Welfare Department,STATE,1,0
67,NO MINISTRY,1606,Fisheries Department,STATE,1,0
60,NO MINISTRY,846,Animal Husbandry,UNION_TERRITORY,2,0
61,State Government,1639,DEPARTMENT OF TWENTY-POINT PROGRAMME IMPLEMENTATION,STATE,2,0
80,NO MINISTRY,1293,General Admn. & Public Grievance (GA&PG),STATE,1,0
186,GEOLOGY & MINING,1370,GEOLOGY & MINING,STATE,1,0
57,NO MINISTRY,225,ENVIRONMENT AND FOREST,STATE,1,0
82,NO MINISTRY,943,Department of NRI Affairs,STATE,3,0
82,NO MINISTRY,1186,Vigilance Bureau,STATE,1,0
63,NO MINISTRY,872,Department of Ports Light House,UNION_TERRITORY,3,0
131,No Ministry,1319,Rural Management & Development Department,STATE,1,0
74,NO MINISTRY,305,Scheduled Caste Welfare Department,STATE,3,0
131,No Ministry,661,Gangtok Muncipal Corporation,STATE,2,0
72,NO MINISTRY,1242,Coastal Shipping & Inland Navigation,STATE,1,0
66,NO MINISTRY,312,Science and Technology Department,STATE,1,0
89,NO MINISTRY,604,DEPARTMENT OF STATE PROPERTY,STATE,1,0
67,NO MINISTRY,136,UTTAR HARYANA BIJLI VITRAN NIGAM,STATE,2,0
72,NO MINISTRY,1261,Non-Resident Keralites Affairs,STATE,3,0
78,NO MINISTRY,1154,Education,STATE,1,0
189,NO MINISTRY,1496,General Administration Department,UNION_TERRITORY,2,0
