ministry_id,ministry_name,department_id,department_name,jurisdiction,document_count,pdf_count
65,NO MINISTRY,1228,"Finance Department, Government of Goa",STATE,24,0
86,NO MINISTRY,748,"Environment, Forests, Science and Technology",STATE,42,0
91,Andaman and Nicobar Administration,149,Andaman and Nicobar Police,UNION_TERRITORY,16,0
59,NO MINISTRY,1071,SOCIAL WELFARE DEPARTMENT,STATE,19,0
67,NO MINISTRY,1617,Police Department,STATE,16,0
98,Agriculture,329,Agriculture,STATE,5,0
66,NO MINISTRY,250,Legal Department,STATE,8,0
60,NO MINISTRY,1046,Government Medical College Hospital Sector 16,UNION_TERRITORY,13,0
61,State Government,1294,"DEPARTMENT OF SKILL DEVELOPMENT, TECHNICAL EDUCATION AND EMPLOYMENT",STATE,16,0
58,NO MINISTRY,566,Sports and Youth Welfare Department,STATE,1,0
71,NO MINISTRY,585,"Forest, Environment & Ecology Department",STATE,6,0
58,NO MINISTRY,529,Higher Education Department,STATE,45,0
74,NO MINISTRY,288,Animal Husbandry Department,STATE,13,0
82,NO MINISTRY,965,Department of Local Government,STATE,54,0
67,NO MINISTRY,109,HOME DEPARTMENT,STATE,15,0
86,NO MINISTRY,769,School Education,STATE,5,0
180,LAW AND JUSTICE,1303,LAW AND JUSTICE,STATE,9,0
87,NO MINISTRY,1042,Directorate of Information Technology,STATE,5,0
64,NO MINISTRY,810,Labour Department,UNION_TERRITORY,13,0
63,NO MINISTRY,884,Department of Public Health,UNION_TERRITORY,26,0
60,NO MINISTRY,1439,Department of Personnel,UNION_TERRITORY,4,0
131,No Ministry,1298,Animal Husbandry Livestock Fisheries & Veterinary Services Department,STATE,4,0
72,NO MINISTRY,1247,Finance,STATE,7,0
88,NO MINISTRY,473,Information Technology & Electronics,STATE,35,0
65,NO MINISTRY,1315,"Home Department, Government of Goa",STATE,8,0
89,NO MINISTRY,396,DEPARTMENT OF URBAN DEVELOPMENT,STATE,12,0
74,NO MINISTRY,291,Science and Technology Department,STATE,5,0
74,NO MINISTRY,294,Bhopal Gas Tragedy Relief and Rehabilitation Department,STATE,10,0
61,State Government,1047,DEPARTMENT OF TRIBAL WELFARE,STATE,29,0
60,NO MINISTRY,1219,Education Department (Schools),UNION_TERRITORY,6,0
67,NO MINISTRY,1537,"Information, Public Relations and Languages Department",STATE,2,0
64,NO MINISTRY,789,Department of Women and Child Development,UNION_TERRITORY,21,0
66,NO MINISTRY,323,Urban Development and Urban Housing Department,STATE,14,0
87,NO MINISTRY,1040,Directorate of Industries & Commerce,STATE,3,0
74,NO MINISTRY,266,Industry Policy and Investment Promotion Department,STATE,14,0
66,NO MINISTRY,315,Tribal Development Department,STATE,11,0
131,No Ministry,1311,Health & Family Welfare Department,STATE,3,0
58,NO MINISTRY,527,Co-operation Department,STATE,18,0
88,NO MINISTRY,476,Khadi & Village Industries,STATE,28,0
88,NO MINISTRY,1449,Agriculture Marketing & Forign Trade,STATE,62,0
71,NO MINISTRY,588,Transport Department,STATE,4,0
72,NO MINISTRY,1581,Dairy Development,STATE,2,0
61,State Government,1082,DEPARTMENT OF GENERAL ADMINISTRATION,STATE,49,3
63,NO MINISTRY,887,Department of Animal Husbandry & Veterinary Services,UNION_TERRITORY,11,0
67,NO MINISTRY,102,WELFARE OF SC &amp; BC,STATE,23,0
85,NO MINISTRY,774,"Co-operation, Food and Consumer Protection Department, Government of Tamil Nadu",STATE,11,0
83,NO MINISTRY,1099,Language and Library Department,STATE,2,0
59,NO MINISTRY,1391,SUGERCANE INDUSTRIES DEPARTMENT,STATE,9,0
83,NO MINISTRY,1134,Public Works Department(PWD),STATE,80,0
72,NO MINISTRY,1278,Water Resources,STATE,6,0
88,NO MINISTRY,488,Planning,STATE,21,0
26,"Ministry of Personnel, Public Grievances and Pensions",89,Department of Pension and Pensioners Welfare,CENTRAL,17,0
166,Govt of Maharashtra,1476,Tribal Development Department,STATE,20,0
86,NO MINISTRY,758,Irrigation and Command Area Development,STATE,13,0
87,NO MINISTRY,907,Directorate of School Education(Legal Affairs Unit),STATE,6,0
56,NO MINISTRY,352,Animal Husbandry & Dairy Development & Fisheries Department,STATE,8,0
82,NO MINISTRY,946,Department of Animal Husbandry,STATE,10,0
82,NO MINISTRY,961,Department of Agriculture,STATE,43,0
86,NO MINISTRY,752,Higher Education,STATE,9,0
59,NO MINISTRY,738,REVENUE & LAND REFORMS DEPARTMENT,STATE,21,0
67,NO MINISTRY,613,"IRRIGATION & WATER RESOURCES DEPARTMENT, HARYANA",STATE,15,0
86,NO MINISTRY,742,Law,STATE,64,0
83,NO MINISTRY,1116,General Administration Department,STATE,26,0
61,State Government,1597,DEPARTMENT OF PUBLIC RELATION,STATE,2,0
87,NO MINISTRY,913,Directorate of Higher Education (Legal Affairs Unit),STATE,9,0
82,NO MINISTRY,996,Department of State Election Commission,STATE,2,0
67,NO MINISTRY,134,FOOD CIVIL SUPPLIES & CONSUMER AFFAIRS,STATE,26,0
59,NO MINISTRY,851,TRANSPORT DEPARTMENT,STATE,36,0
63,NO MINISTRY,891,"Daman Municipal Council, Daman.",UNION_TERRITORY,11,0
60,NO MINISTRY,1032,Excise and Taxation Department,UNION_TERRITORY,21,0
189,NO MINISTRY,1490,Cooperatives Department,UNION_TERRITORY,1,0
74,NO MINISTRY,299,Medical Education Department,STATE,14,3
89,NO MINISTRY,951,DEPARTMENT OF WOMENT EMPOWEREMENT AND CHILD DEVELOPMENT,STATE,2,0
65,NO MINISTRY,1396,"Department of Archives, Government of Goa.",STATE,2,0
67,NO MINISTRY,1526,"CHIEF SCRETARY OFFICE, HARYANA",STATE,15,0
63,NO MINISTRY,895,"Sub Jail, Daman",UNION_TERRITORY,2,0
82,NO MINISTRY,972,Department of Parliamentary Affairs,STATE,8,0
91,Andaman and Nicobar Administration,1509,Department of Transport,UNION_TERRITORY,14,0
71,NO MINISTRY,582,Energy Department,STATE,13,0
85,NO MINISTRY,246,"Public Works Department, Government of Tamil Nadu",STATE,40,0
61,State Government,1184,DEPARTMENT OF SOCIAL WELFARE,STATE,18,0
67,NO MINISTRY,129,CHIEF ELECTRICAL INSPECTOR,STATE,12,0
72,NO MINISTRY,1254,Higher Education,STATE,10,0
71,NO MINISTRY,595,"Public Works, Ports and Inland Water Transport Department",STATE,7,0
69,NO MINISTRY,629,Technical Education,UNION_TERRITORY,20,0
89,NO MINISTRY,381,DEPARTMENT OF HIGHER EDUCATION,STATE,25,0
70,NO MINISTRY,730,"Labour Employment and Training Department, Government of Jharkhand",STATE,29,0
82,NO MINISTRY,964,Department of Investment Promotion,STATE,4,0
60,NO MINISTRY,1313,Model Jail Department Chandigarh,UNION_TERRITORY,15,0
89,NO MINISTRY,376,DEPARTMENT OF HOME AFFAIRS,STATE,8,0
65,NO MINISTRY,1350,"Department of Agriculture, Government of Goa",STATE,4,0
71,NO MINISTRY,598,Social Welfare Department,STATE,17,0
83,NO MINISTRY,1107,Devasthan Department,STATE,57,0
63,NO MINISTRY,894,Department of Labour & Employment,UNION_TERRITORY,26,0
65,NO MINISTRY,1379,"Department of Tourism, Government of Goa",STATE,3,0
166,Govt of Maharashtra,1471,Public Health Department,STATE,67,0
67,NO MINISTRY,711,"Pt.B.D.SHARMA UNIVERSITY OF HEALTH SCIENCES, ROHTAK",STATE,12,0
82,NO MINISTRY,975,Department of Higher Education,STATE,29,0
83,NO MINISTRY,1321,Statistics Department,STATE,25,0
88,NO MINISTRY,1420,Home Guard,STATE,14,0
60,NO MINISTRY,899,Urban & Planning Department,UNION_TERRITORY,5,0
67,NO MINISTRY,118,REVENUE & DISASTER MANAGEMENT DEPARTMENT,STATE,11,0
